"Essai";"Rep";"X";"Y";"Num";"Genotype";"NbPltesM";"EpiMai";"Ht";"NbEpisM";"Rendement";"NbEpPlte"
"pur";"1";"2";"11";"1";"Altigo";132,5;18;90;375;86,87;2,83018867924528
"pur";"1";"6";"11";"2";"Tremie";130;13;87;442,5;96,41;3,40384615384615
"pur";"1";"9";"8";"3";"F426";165;10;96;367,5;67,51;2,22727272727273
"pur";"1";"4";"9";"4";"A22";100;17;105;322,5;75,64;3,225
"pur";"1";"5";"14";"5";"A398";170;14;NA;475;89,02;2,79411764705882
"pur";"1";"7";"8";"6";"A208";150;11;105;410;76,38;2,73333333333333
"pur";"1";"10";"9";"7";"A243";110;18;108;415;70,4;3,77272727272727
"pur";"1";"9";"9";"8";"F236";117,5;22;117;395;86,25;3,36170212765957
"pur";"1";"11";"8";"9";"Rouge_de_bordeaux";132,5;26;152;395;59,91;2,9811320754717
"pur";"1";"14";"9";"10";"Saint_priest";150;27;148;410;64,2;2,73333333333333
"pur";"1";"12";"14";"11";"Hermes";142,5;27;140;387,5;75,66;2,71929824561404
"pur";"1";"13";"10";"12";"Maxi";122,5;28;140;272,5;66,5;2,22448979591837
"pur";"1";"7";"12";"13";"Ritter";160;27;152;387,5;68,54;2,421875
"pur";"1";"13";"9";"14";"Ble_autrichien";117,5;36;153;340;64;2,8936170212766
"pur";"1";"2";"8";"15";"Rouge_du_roc";137,5;20;150;342,5;53,51;2,49090909090909
"pur";"1";"3";"8";"16";"Grapeli";145;22;94;397,5;73,65;2,74137931034483
"pur";"1";"13";"7";"17";"Soissons";122,5;13;83;367,5;67,35;3
"pur";"1";"14";"14";"18";"Arezzo";155;16;90;470;93,38;3,03225806451613
"pur";"1";"6";"14";"19";"Boregard";145;22;90;490;106,46;3,37931034482759
"pur";"1";"11";"11";"20";"Apache";142,5;18;80;437,5;80,58;3,07017543859649
"pur";"1";"3";"7";"21";"Renan";132,5;21;96;362,5;70,19;2,73584905660377
"pur";"1";"7";"10";"22";"Skerzzo";137,5;22;95;375;88,25;2,72727272727273
"pur";"1";"7";"7";"23";"Midas";122,5;22;115;360;85,44;2,93877551020408
"pur";"1";"4";"8";"24";"Alauda";160;29;147;317,5;61,62;1,984375
"pur";"1";"11";"12";"25";"Sogood";130;22;96;422,5;88,88;3,25
"pur";"1";"11";"14";"101";"Altigo";122,5;14;93;NA;82,03;NA
"pur";"1";"8";"7";"102";"Altigo";120;18;90;315;80,45;2,625
"pur";"1";"14";"7";"103";"Arezzo";NA;NA;NA;NA;NA;NA
"pur";"1";"14";"8";"104";"Arezzo";NA;NA;NA;NA;NA;NA
"pur";"2";"25";"11";"1";"Altigo";135;18;93;370;81,16;2,74074074074074
"pur";"2";"17";"14";"2";"Tremie";122,5;18;85;377,5;102,76;3,08163265306122
"pur";"2";"27";"9";"3";"F426";140;10;98;382,5;54,98;2,73214285714286
"pur";"2";"18";"13";"4";"A22";112,5;16,5;105;397,5;73,73;3,53333333333333
"pur";"2";"23";"14";"5";"A398";102,5;14;NA;347,5;78,83;3,39024390243902
"pur";"2";"24";"14";"6";"A208";120;11;108;340;66,19;2,83333333333333
"pur";"2";"25";"10";"7";"A243";107,5;18;106;422,5;70,9;3,93023255813953
"pur";"2";"20";"8";"8";"F236";137,5;22;120;375;72,33;2,72727272727273
"pur";"2";"27";"7";"9";"Rouge_de_bordeaux";137,5;26;147;350;59,37;2,54545454545455
"pur";"2";"18";"10";"10";"Saint_priest";140;27;145;460;71,48;3,28571428571429
"pur";"2";"29";"9";"11";"Hermes";115;27;138;325;73,62;2,82608695652174
"pur";"2";"29";"11";"12";"Maxi";120;27;138;217,5;59,06;1,8125
"pur";"2";"18";"7";"13";"Ritter";120;27;145;285;61,37;2,375
"pur";"2";"25";"12";"14";"Ble_autrichien";130;36;155;377,5;68,49;2,90384615384615
"pur";"2";"19";"13";"15";"Rouge_du_roc";107,5;18;155;332,5;53,15;3,09302325581395
"pur";"2";"23";"12";"16";"Grapeli";117,5;22;95;367,5;81,14;3,12765957446809
"pur";"2";"24";"8";"17";"Soissons";155;13;85;435;64,25;2,80645161290323
"pur";"2";"28";"11";"18";"Arezzo";112,5;18;80;375;69,99;3,33333333333333
"pur";"2";"28";"8";"19";"Boregard";127,5;22;78;445;71,56;3,49019607843137
"pur";"2";"18";"14";"20";"Apache";112,5;18;87;417,5;94,39;3,71111111111111
"pur";"2";"23";"13";"21";"Renan";115;18;100;395;71,23;3,43478260869565
"pur";"2";"20";"14";"22";"Skerzzo";127,5;22;100;380;76,41;2,98039215686275
"pur";"2";"22";"10";"23";"Midas";130;20;105;315;62,43;2,42307692307692
"pur";"2";"26";"7";"24";"Alauda";135;29;143;297,5;58,44;2,2037037037037
"pur";"2";"28";"12";"25";"Sogood";122,5;22;85;387,5;72,78;3,16326530612245
"pur";"2";"17";"10";"101";"Altigo";125;14;86;305;74,22;2,44
"pur";"2";"25";"13";"102";"Altigo";122,5;13;88;347,5;80,61;2,83673469387755
"pur";"2";"29";"7";"103";"Arezzo";NA;NA;NA;NA;NA;NA
"pur";"2";"29";"8";"104";"Arezzo";NA;NA;NA;NA;NA;NA
